monthly_spend,household_size,tenure_days,plan_code,primary_device_code,is_active_flag,total_watch_minutes,avg_completion,unique_devices,completed_ratio,download_ratio,sessions_last_28_days,sessions_prev_28_days,session_trend_4w,historical_searches,recs_shown,rec_clicks,rec_ctr,avg_review_rating,review_count,low_rating_ratio,helpful_votes_avg,sentiment_score_avg,genre_total,top_genre_count,genre_diversity,top_genre_share,historical_sessions,churn,user_id
36.06,1.0,448,0,2,1,760.6,62.972727272727276,4.0,0.6363636363636364,0.45454545454545453,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.792,12.0,3.0,8.0,0.25,11.0,0,user_00001
14.59,2.0,402,3,0,1,390.0,39.8,4.0,0.5,0.375,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,2.5,0.6165,9.0,3.0,7.0,0.3333333333333333,8.0,0,user_00002
11.71,3.0,647,1,0,0,660.9,39.17777777777778,5.0,0.4444444444444444,0.2222222222222222,3.0,0.0,3.0,0.0,6.0,2.0,0.3333333333333333,4.0,1.0,0.0,0.0,0.887,9.0,4.0,6.0,0.4444444444444444,9.0,1,user_00003
28.56,2.0,313,1,2,1,974.1999999999999,33.52727272727273,4.0,0.36363636363636365,0.2727272727272727,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.25,4.0,0.5,3.25,0.30875,12.0,2.0,10.0,0.16666666666666666,11.0,0,user_00004
9.54,6.0,245,1,0,1,430.1,60.628571428571426,4.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,2.0,0.0,4.0,0.5535,7.0,2.0,6.0,0.2857142857142857,7.0,0,user_00005
13.82,2.0,410,1,1,1,332.8,56.31111111111111,5.0,0.3333333333333333,0.3333333333333333,2.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.506,9.0,1.0,9.0,0.1111111111111111,9.0,0,user_00006
27.74,1.0,109,2,0,1,254.70000000000002,53.31666666666666,4.0,0.0,0.3333333333333333,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,3.3333333333333335,0.7026666666666667,6.0,1.0,6.0,0.16666666666666666,6.0,0,user_00007
6.69,1.0,970,0,5,1,417.35,38.275,3.0,0.0,0.125,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,7.0,0.25,8.0,0,user_00008
12.21,5.0,78,2,1,1,277.1,47.5,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.4,5.0,0,user_00009
23.18,1.0,330,0,2,1,515.0,58.114285714285714,4.0,0.14285714285714285,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.5,2.0,0.5,3.5,0.5015000000000001,8.0,2.0,6.0,0.25,7.0,0,user_00010
556.13,2.0,997,0,0,1,607.1,40.74545454545454,5.0,0.09090909090909091,0.09090909090909091,0.0,1.0,-1.0,0.0,6.0,3.0,0.5,5.0,1.0,0.0,5.0,0.829,12.0,2.0,10.0,0.16666666666666666,11.0,0,user_00011
29.23,2.0,1008,2,5,1,510.4,51.64166666666667,5.0,0.16666666666666666,0.16666666666666666,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,9.0,0.23076923076923078,12.0,0,user_00012
18.68,3.0,894,0,1,1,625.0,44.87777777777777,5.0,0.1111111111111111,0.0,0.0,1.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,7.0,0.3333333333333333,9.0,0,user_00013
25.19,2.0,621,0,2,1,492.75,67.0125,5.0,0.25,0.25,2.0,0.0,2.0,5.0,2.0,0.0,0.0,3.0,2.0,0.5,2.5,0.5265,8.0,2.0,7.0,0.25,8.0,0,user_00014
5.14,3.0,562,0,3,0,441.1,54.8,4.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,9.0,2.0,7.0,0.2222222222222222,7.0,0,user_00015
3.36,1.0,332,1,2,1,350.5,57.32857142857143,4.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,0.282,7.0,1.0,7.0,0.14285714285714285,7.0,0,user_00016
13.39,1.0,962,2,4,1,417.9,49.449999999999996,4.0,0.5,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.5,2.0,0.0,5.0,0.728,7.0,2.0,6.0,0.2857142857142857,6.0,0,user_00017
8.78,6.0,149,0,2,1,144.8,55.9,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6666666666666665,3.0,0.3333333333333333,2.6666666666666665,0.3313333333333333,3.0,1.0,3.0,0.3333333333333333,3.0,0,user_00018
10.28,7.0,97,2,3,1,1002.4000000000001,53.945454545454545,4.0,0.18181818181818182,0.2727272727272727,1.0,1.0,0.0,3.0,4.0,0.0,0.0,4.666666666666667,3.0,0.0,3.3333333333333335,0.8296666666666667,11.0,2.0,9.0,0.18181818181818182,11.0,0,user_00019
11.32,2.0,729,3,5,1,544.7,53.2125,4.0,0.375,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,2.0,0.601,8.0,1.0,8.0,0.125,8.0,0,user_00020
17.24,3.0,427,0,2,1,440.6,64.11111111111111,5.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.554,9.0,1.0,9.0,0.1111111111111111,9.0,1,user_00021
