model,threshold,accuracy,roc_auc,pr_auc,recall_1
Logistic Default,0.5,0.5450999512432959,0.5079160419790105,0.025664677955798562,0.52
Decision Tree,0.5,0.11604095563139932,0.507976011994003,0.024764284334378998,0.92
Random Forest,0.5,0.9648951730862994,0.5126336831584208,0.0854722422492566,0.06
Hist Gradient Boosting,0.5,0.9756216479765968,0.5263268365817091,0.08705392590558449,0.06
Mlp Neural Net,0.5,0.523159434422233,0.5180309845077461,0.028038266665141233,0.54
Xgboost,0.5,0.9765967820575329,0.5543528235882059,0.09674050484690114,0.06
Lightgbm,0.5,0.977084349098001,0.5901949025487256,0.0981281811384438,0.06
Calibrated Sgd,0.5,0.9756216479765968,0.5,0.02437835202340322,0.0
Stacking Ensemble,0.5,0.5431496830814238,0.4664667666166917,0.02360988894226101,0.42
Logistic Default (F2 tuned),0.4962247228416873,0.5275475377864456,0.5079160419790105,0.025664677955798562,0.56
